2 3
10.0572 -7.91507 0 
6.90012 2.31171 1 
-9.06528 7.56119 2 
5.85139 3.4043 0 
-6.53332 -2.32951 1 
-7.41588 1.45875 2 
7.77981 -2.25095 0 
11.2641 9.2267 1 
-7.67823 1.67894 2 
6.25992 12.0493 0 
1.48234 4.93268 1 
-5.97774 -2.46255 2 
9.47816 -0.810289 0 
-5.0624 -2.94506 1 
-11.1387 8.26431 2 
8.38265 0.424958 0 
-0.991604 1.71728 1 
-11.3464 8.21176 2 
7.35039 -4.55663 0 
-3.25391 2.61701 1 
-7.2631 -0.0858445 2 
4.70649 17.0863 0 
-1.23249 1.26039 1 
-5.92575 -2.04069 2 
6.8704 1.61084 0 
7.14586 2.26915 1 
-9.72478 7.60039 2 
8.71818 -3.13888 0 
-3.14065 -3.83468 1 
-6.04732 -3.02528 2 
8.72129 -3.75986 0 
0.961292 -1.64033 1 
-9.13658 5.32778 2 
4.7196 11.0828 0 
1.22881 4.61387 1 
-4.34024 -8.63068 2 
5.95147 15.196 0 
0.480654 -0.168506 1 
-8.44111 2.90473 2 
5.63701 5.18968 0 
-11.8041 -6.57597 1 
-9.79644 6.40223 2 
5.65309 9.09585 0 
8.81481 7.66115 1 
-3.97978 -8.02915 2 
7.00482 1.45218 0 
-9.03236 -6.42726 1 
-8.64198 2.26082 2 
7.5471 1.33803 0 
9.48524 5.7352 1 
-5.12234 -3.96974 2 
9.88285 -4.78016 0 
-0.277881 0.0453927 1 
-7.56609 1.01874 2 
10.2927 -8.36731 0 
5.58493 5.57891 1 
-8.78784 4.91226 2 
6.16858 5.57772 0 
0.0360257 1.41336 1 
-8.37025 4.14345 2 
5.76907 6.9601 0 
-9.48697 -9.55169 1 
-4.8553 -7.49498 2 
9.8131 -5.45148 0 
-4.84843 2.62645 1 
-9.77523 5.9349 2 
8.67001 -0.3566 0 
2.97868 2.72371 1 
-10.3976 10.3702 2 
3.80467 13.6833 0 
12.3288 9.1976 1 
-7.95259 2.6398 2 
10.4442 -7.82908 0 
-2.3603 -2.5362 1 
-8.72093 2.55714 2 
6.66438 6.36047 0 
0.987218 -0.922362 1 
-13.3253 15.721 2 
8.25505 1.0489 0 
3.60062 2.49743 1 
-7.0242 -2.3671 2 
6.93663 10.7397 0 
16.8502 16.744 1 
-7.42105 -2.24454 2 
6.63251 -5.69155 0 
-11.1555 -7.37587 1 
-5.29565 -3.49925 2 
6.11929 9.74541 0 
-5.8658 -6.41255 1 
-6.14977 0.16823 2 
7.68619 3.25516 0 
4.15921 2.10047 1 
-6.45982 -3.75237 2 
5.85607 9.1446 0 
5.40422 2.81611 1 
-5.31 -6.77166 2 
5.2452 14.6672 0 
1.25541 -3.85139 1 
-9.67082 5.39255 2 
9.44363 -5.17148 0 
-1.82026 3.86247 1 
-7.32055 0.916306 2 
7.27029 7.00927 0 
-6.66335 -5.86411 1 
-9.11189 1.76557 2 
9.07702 -0.374512 0 
2.62415 5.15381 1 
-10.0617 7.69044 2 
8.74564 -3.31948 0 
-9.09881 -9.92221 1 
-3.15333 -9.68785 2 
10.0464 -2.41441 0 
3.38078 3.70697 1 
-10.4534 7.20678 2 
8.88099 -1.25992 0 
-8.98026 -3.43679 1 
-8.30852 -0.722023 2 
9.26221 -3.6416 0 
-3.62619 -1.61756 1 
-6.03769 -3.74852 2 
8.20616 0.282683 0 
0.186607 -1.80103 1 
-5.57849 -5.26562 2 
9.54563 -3.32285 0 
-1.54011 -0.648421 1 
-5.4385 -6.2427 2 
7.90862 -0.242532 0 
-4.12133 -4.3593 1 
-8.15934 2.32823 2 
7.74739 7.22225 0 
1.21496 2.77623 1 
-8.76291 3.05772 2 
7.0273 4.25291 0 
6.05281 8.0625 1 
-12.044 11.7753 2 
5.25343 3.02948 0 
2.27812 0.624927 1 
-6.31667 -0.00634997 2 
5.22103 12.8028 0 
1.39645 2.6778 1 
-7.2937 -0.626575 2 
9.56684 -4.67426 0 
-3.35678 -1.37459 1 
-6.54993 -1.96742 2 
7.42813 2.86118 0 
1.19334 0.441782 1 
-4.90738 -4.59173 2 
7.48741 1.19461 0 
1.7855 3.36624 1 
-9.05548 3.24188 2 
6.61868 -3.21183 0 
2.18872 3.55763 1 
-8.68288 3.26664 2 
7.31855 2.01118 0 
1.0921 6.71862 1 
-5.77021 -3.9888 2 
7.77989 0.0384125 0 
3.68895 2.88338 1 
-7.55406 1.27082 2 
6.89016 1.44391 0 
6.30925 8.32865 1 
-6.05753 -2.26657 2 
11.0016 -9.03534 0 
10.5943 11.1403 1 
-10.6227 9.78256 2 
6.54305 2.97212 0 
4.03123 4.47727 1 
-11.6066 10.3246 2 
9.57862 1.50178 0 
0.64054 5.28088 1 
-10.5065 8.94125 2 
7.57234 0.947339 0 
0.660696 1.22246 1 
-12.4951 13.2068 2 
7.84412 8.78513 0 
6.88526 4.47081 1 
-8.48664 3.86958 2 
7.61538 -0.531383 0 
-6.31782 -7.55322 1 
-10.7251 7.20073 2 
5.2539 5.50881 0 
-2.65615 -3.19312 1 
-5.86427 -1.83489 2 
7.63246 5.2784 0 
-2.63213 -1.96066 1 
-8.59797 2.43743 2 
9.39432 0.731677 0 
0.701501 -0.405701 1 
-8.72359 5.96779 2 
8.69814 0.822276 0 
-0.701042 0.211074 1 
-10.7146 7.76755 2 
7.23312 7.41926 0 
7.33035 6.57906 1 
-6.74518 -1.01598 2 
6.80278 2.82701 0 
-6.44237 -3.36419 1 
-7.6173 3.29592 2 
7.51486 2.80226 0 
-4.05957 -8.57948 1 
-6.591 -1.43401 2 
6.16489 14.3 0 
-4.79286 -3.19949 1 
-6.29749 -0.567514 2 
7.48264 4.69265 0 
2.01231 -2.41456 1 
-7.60647 -1.63534 2 
5.20209 15.4824 0 
11.8326 12.4895 1 
-8.0572 -0.110952 2 
3.84955 15.0679 0 
-1.80303 -4.72315 1 
-6.59381 0.741169 2 
6.98033 8.94036 0 
-1.12214 -1.96112 1 
-10.9214 10.4482 2 
3.20765 17.7617 0 
-4.21911 -5.97166 1 
-7.41593 0.505937 2 
6.26113 14.9436 0 
5.33641 1.15195 1 
-7.72571 0.803398 2 
8.93042 -1.62929 0 
-4.91241 -4.58136 1 
-5.15174 -2.10173 2 
10.4153 -1.08114 0 
-3.74414 -2.87596 1 
-9.03167 1.7121 2 
8.27989 2.48525 0 
-20.2304 -18.4457 1 
-6.49539 -0.508734 2 
7.27571 11.7726 0 
5.38145 2.44884 1 
-9.77119 5.20987 2 
6.02866 9.24921 0 
0.252845 1.73086 1 
-3.57505 -8.75589 2 
0.850752 25.3747 0 
-9.55851 -7.39542 1 
-6.13714 -2.24308 2 
5.71084 8.82781 0 
2.58769 6.02835 1 
-8.6195 6.16404 2 
7.76652 -0.936924 0 
-1.9015 -2.80662 1 
-6.42029 -2.06433 2 
7.52176 8.79105 0 
-4.42376 -1.44711 1 
-4.79861 -6.58464 2 
8.3473 0.83258 0 
-13.9592 -9.31946 1 
-8.49853 2.63057 2 
11.1488 -8.71499 0 
-5.66928 -7.09644 1 
-6.08857 -1.06534 2 
7.50822 2.69706 0 
-9.13933 -7.98628 1 
-5.94602 -2.06606 2 
6.49278 6.79315 0 
-2.7986 -1.01278 1 
-10.3659 9.3208 2 
6.1122 10.7631 0 
-5.45889 -6.24699 1 
-8.83371 3.52485 2 
7.9603 3.80019 0 
0.70168 1.02219 1 
-7.0412 -1.08925 2 
2.50423 19.7999 0 
-12.592 -9.40611 1 
-13.7977 17.622 2 
6.70598 6.87246 0 
-8.34001 -9.56997 1 
-8.8781 5.27553 2 
6.08013 14.8785 0 
4.32314 1.13227 1 
-6.91958 -0.505428 2 
6.56347 7.28682 0 
-0.268233 -2.38395 1 
-9.04152 2.53273 2 
8.18902 1.49972 0 
-7.05352 -6.99146 1 
-5.84426 -1.75058 2 
6.34682 6.62616 0 
1.5625 1.6072 1 
-7.70605 1.61954 2 
6.14763 11.6773 0 
-0.375648 -1.47246 1 
-6.40456 -0.194336 2 
6.45449 8.11193 0 
-1.13702 -5.96913 1 
-7.49079 2.54318 2 
6.88994 7.36875 0 
9.26883 5.2016 1 
